25.05,27.21,24.81,27.21,28800900,27.17627
24.88,25.05,24.07,24.74,18703100,24.70933
23.56,25.49,23.55,24.90,22873400,24.86913
22.20,23.97,22.05,23.29,12545700,23.26113
23.42,23.42,23.42,23.42,000,23.39097
23.42,23.42,23.42,23.42,000,23.39097
23.42,23.42,23.42,23.42,000,23.39097
23.42,23.42,23.42,23.42,000,23.39097
23.42,23.42,23.42,23.42,000,23.39097
23.86,24.50,23.20,23.42,17678700,23.39097
23.18,24.89,23.00,24.02,26620800,23.99022
21.59,23.96,20.32,23.34,24637300,23.31107
21.21,22.20,21.21,21.85,16820200,21.82291
23.32,24.08,21.04,21.19,23683700,21.16373
22.60,24.47,21.71,23.38,27518100,23.35102
25.99,26.86,24.12,24.12,24747400,24.0901
26.20,27.20,25.05,26.80,27678100,26.76678
26.00,27.65,25.51,26.44,34632900,26.40722
27.05,27.75,26.02,26.41,21549000,26.37726
26.31,27.35,24.90,26.87,28488800,26.83669
28.30,29.20,26.40,26.40,36940100,26.36727
28.70,31.50,28.30,29.33,45404900,29.29364
27.90,29.68,26.30,29.32,39885600,29.28365
28.00,29.98,27.15,28.42,37129700,28.38477
27.79,30.60,27.32,29.03,46852900,28.99401
25.00,28.88,25.00,28.12,34771200,28.08514
27.39,29.30,26.26,27.65,46860900,27.61572
24.90,27.39,24.90,27.39,32036300,27.35605
23.98,26.50,23.38,24.90,30006500,24.86913
24.98,25.87,22.06,25.00,27322600,24.96901
26.00,26.32,24.11,24.11,7697900,24.08011
24.55,26.79,24.36,26.79,34379300,26.75679
23.40,25.18,22.61,24.35,28524300,24.31981
27.10,28.46,25.01,25.06,20500900,25.02893
27.48,27.48,27.48,27.48,000,27.44593
29.40,29.89,27.29,27.48,28857200,27.44593
30.40,31.30,29.55,29.80,33130700,29.76306
29.16,32.00,28.26,30.84,48476300,30.80177
26.30,29.16,26.00,29.16,40372700,29.12385
27.71,29.66,26.50,26.51,37202200,26.47714
26.80,28.75,26.31,27.71,37517400,27.67565
25.00,28.28,24.24,27.55,45338700,27.51585
25.90,25.90,25.90,25.90,000,25.86789
25.90,25.90,25.90,25.90,000,25.86789
25.90,25.90,25.90,25.90,000,25.86789
25.90,25.90,25.90,25.90,000,25.86789
23.70,26.38,23.70,25.90,39246400,25.86789
23.88,24.99,23.64,23.98,21133100,23.95027
22.34,24.59,22.00,23.95,24930900,23.92031
23.30,23.30,22.34,22.35,13615300,22.32229
23.52,24.45,23.40,23.59,16817300,23.56076
24.21,24.50,23.21,23.90,22673500,23.87037
25.70,25.70,24.45,24.68,34593600,24.64941
23.86,26.25,23.36,26.25,44548800,26.21746
24.53,24.80,23.00,23.86,39141500,23.83042
23.00,24.53,22.94,24.53,47936000,24.49959
20.22,22.30,20.22,22.30,14399500,22.27235
20.65,20.90,19.92,20.27,9912100,20.24487
21.53,21.92,19.40,20.90,15640700,20.87409
22.20,23.50,21.00,21.50,18260700,21.47335
23.85,24.05,22.60,22.64,18062500,22.61193
23.05,23.98,22.70,23.79,22746200,23.76051
22.50,23.13,21.91,23.10,15410400,23.07136
22.00,24.00,21.70,22.56,17109900,22.53203
22.55,22.55,21.80,22.25,13836300,22.22242
21.30,22.78,21.30,22.60,15334100,22.57198
22.28,22.48,21.02,21.24,12824400,21.21367
23.30,23.50,22.23,22.28,18781800,22.25238
21.60,23.70,21.30,23.30,17739100,23.27112
24.12,24.57,22.65,22.66,25432200,22.63191
25.30,26.85,24.01,24.99,39997200,24.95902
22.23,24.89,22.10,24.89,35707200,24.85914
22.30,23.62,22.10,22.63,27650100,22.60195
21.60,23.30,21.11,22.81,32596600,22.78172
21.82,22.80,21.68,22.23,23813700,22.20244
22.72,22.94,21.50,22.07,32072000,22.04264
21.99,22.79,21.35,22.61,31509300,22.58197
22.33,23.20,20.70,21.71,32579500,21.68309
22.88,23.58,22.88,22.88,27645200,22.85164
26.30,28.80,25.40,25.42,53607800,25.38849
24.81,27.20,24.01,26.40,43549900,26.36727
23.50,25.94,23.20,25.07,41348200,25.03892
23.50,25.99,22.50,23.99,43265700,23.96026
26.00,27.14,22.86,24.70,52290900,24.66938
24.59,25.40,24.01,25.40,20731000,25.36851
20.48,23.09,20.20,23.09,45245000,23.06138
20.10,21.51,19.68,20.99,54417800,20.96398
18.01,19.55,17.65,19.55,30590700,19.52576
15.71,17.77,15.51,17.77,32522300,17.74797
15.35,16.60,14.76,16.15,31605900,16.12998
14.95,15.80,14.55,15.34,26186600,15.32098
14.59,15.39,13.90,14.94,31018100,14.92148
13.1889,14.5556,12.8889,14.5556,30493500,8.07642
13.1667,14.1333,13.0556,13.2333,27712400,7.34272
13.0556,13.2778,12.6778,13.1556,16926200,7.29961
12.3111,13.20,12.2778,13.20,15871800,7.32424
12.00,12.00,12.00,12.00,000,6.6584
12.00,12.00,12.00,12.00,000,6.6584
12.00,12.00,12.00,12.00,000,6.6584
12.00,12.00,12.00,12.00,000,6.6584
21.60,21.60,21.60,21.60,000,11.98512
22.60008,22.78008,21.07998,21.60,17928200,11.98512
21.20004,22.66992,21.18996,22.66992,26359000,12.57879
18.72,20.61,18.52992,20.61,10311300,11.43581
19.62,20.14992,18.21996,18.73998,7084500,10.39819
19.80,20.25,19.45008,19.89,9061900,11.0363
18.88002,20.57994,18.66006,19.80,11822300,10.98636
18.84006,19.49994,18.34992,19.02006,7742400,10.5536
17.51999,19.09998,17.40001,18.95994,7874600,10.52024
16.99,17.95,16.88,17.87999,6899900,9.92102
16.90,18.00,16.70,16.70,6781000,9.26628
15.61,16.92,15.61,16.92,5492200,9.38835
16.11,16.65,15.35999,15.37999,5485400,8.53385
18.90,19.13994,17.06999,17.06999,5645100,9.47157
18.50004,19.20006,18.21996,18.97002,5547800,10.52584
18.66996,18.97002,18.39996,18.46008,5725700,10.24289
18.30996,19.29996,17.96,19.09998,9880800,10.59795
16.09999,17.96,16.05001,17.96,7336200,9.96541
16.05001,17.08,16.04,16.33,6893100,9.06097
15.61,15.61,15.61,15.61,000,8.66147
15.61,15.61,15.61,15.61,000,8.66147
15.39,17.46,15.22001,15.61,7642900,8.66147
17.78999,17.78999,16.51,16.51,6856300,9.16085
19.99998,19.99998,18.28008,18.34002,6436600,10.17627
18.77004,20.23992,18.50004,20.23992,8661700,11.23046
18.50004,18.97992,16.83,18.39996,8857400,10.20953
19.51002,20.39004,17.60999,17.85001,9899900,9.90438
19.58004,20.59992,19.42002,19.42002,4961600,10.77553
22.87998,23.14008,21.58002,21.58002,6014000,11.97404
24.78996,26.15004,23.77008,23.97996,8060000,13.30568
25.99992,27.79992,25.11,25.61994,10817600,14.21566
23.88006,26.67996,23.25006,26.35992,11632500,14.62625
28.09008,29.52,25.03998,25.09002,16484700,13.92162
26.65008,27.82008,25.70994,27.82008,9283600,15.43644
27.09,28.38006,26.73,26.92008,9614700,14.93706
25.39008,26.92008,25.21998,26.92008,7800800,14.93706
26.67996,26.96994,25.61994,25.61994,7435800,14.21566
26.56008,27.59004,26.56008,27.03006,9403600,14.99808
26.10,27.82998,25.41996,27.14004,14225400,15.05911
23.40,25.30008,23.22,25.30008,12954400,14.03818
21.58992,23.32008,21.49002,23.00004,7196000,12.76196
22.69998,23.47992,21.99996,22.64004,10499600,12.56221
20.50002,22.53006,20.39994,22.53006,10781600,12.50118
22.55994,22.57002,20.48004,20.48004,7702900,11.3637
22.60998,24.04008,22.12992,22.75002,7336700,12.62323
24.31998,25.18992,22.89996,23.00004,9191800,12.76196
24.28002,24.85998,21.49992,24.82992,11124600,13.7773
23.45994,25.75998,23.41008,23.50008,11256200,13.03942
27.79992,29.19006,26.01,26.01,10846200,14.43209
30.00006,30.45996,28.56996,28.90008,13272400,16.0357
28.65006,31.30002,28.40004,30.07008,13524500,16.68489
29.26008,29.80008,27.90,29.08998,15636800,16.14107
26.29008,29.70,25.59996,29.26998,17893600,16.24094
27.00,28.20006,25.66998,27.30006,15105700,15.1479
24.51006,26.74998,24.26004,26.74998,10474000,14.84268
22.08996,25.84008,22.03002,24.31998,11901500,13.49435
26.49996,26.49996,24.48,24.48,9911100,13.58314
25.86996,27.97002,25.43994,27.19998,20576500,15.09237
25.43004,25.43004,23.56002,25.43004,11053700,14.11029
21.76002,23.11992,21.70008,23.11992,3471200,12.82848
18.68004,21.02004,18.68004,21.02004,7913300,11.66332
18.59994,19.76994,18.59994,19.11006,22882900,10.60354
20.66994,20.77002,20.66994,20.66994,1810900,11.46906
27.79992,27.79992,22.96998,22.96998,9636200,12.74528
25.99992,28.18008,25.52004,25.52004,7992600,14.16022
28.49004,31.50,28.35,28.35,9402100,15.73047
34.00002,35.85996,31.50,31.50,10306600,17.47831
32.00004,36.50004,30.51,34.99992,11396200,19.4203
37.67994,37.99998,33.89994,33.89994,10465600,18.80995
37.89,39.40002,37.67004,37.67004,8267000,20.90186
46.00008,46.00008,41.52996,41.86008,18234700,23.22677
42.10002,43.59996,39.00006,41.81994,5738000,23.2045
39.92994,42.80004,37.69992,41.09994,5744000,22.80499
41.88006,41.88006,41.88006,41.88006,000,23.23786
42.10002,45.19998,41.88006,41.88006,9200200,23.23786
50.34996,53.20008,46.53,46.53,8334600,25.81795
51.01002,52.97994,47.62008,51.69996,9228200,28.68659
47.17998,53.76996,46.80,50.00994,11687100,27.74886
46.15002,50.00004,42.89994,48.88008,10329900,27.12194
43.30008,47.84994,41.76,47.19996,10531300,26.18969
42.98004,43.99992,41.68008,43.50006,8705700,24.13674
38.41002,42.64992,37.85004,42.64992,11160900,23.66503
39.29994,40.82004,37.60002,38.80008,6448200,21.49492
41.99994,41.99994,38.98008,39.60,5283400,21.93807
41.05998,43.23996,40.46994,42.44994,9150900,23.51691
43.16994,43.30008,38.14002,41.00004,7133700,22.71368
44.38008,44.94996,41.50008,42.37992,6563700,23.47812
42.73002,46.00008,42.55002,44.20998,9140000,24.49196
39.54006,43.75008,39.47994,43.05006,11590500,23.84937
38.68002,41.97996,37.00008,39.79008,9743500,22.04337
43.99992,43.99992,39.76992,39.78,13079900,22.03779
46.47996,47.89998,44.17002,44.19,12459500,24.48089
42.80994,46.06992,41.09004,46.06992,14384800,25.52235
37.80,41.88006,36.37008,41.88006,13346500,23.2012
37.31994,39.74994,36.03006,38.07,13365600,21.09046
33.55002,37.24992,32.90994,37.24992,14228200,20.63615
33.84,35.98002,33.30,33.85998,9569900,18.75815
33.98004,34.70004,32.41998,33.82002,10115600,18.73601
33.49998,35.28,32.86008,34.45992,10679900,19.09051
33.78006,34.70004,32.00994,33.39,11531800,18.49778
31.03002,34.30008,30.99996,34.02,15194600,18.8468
30.90006,32.79006,29.80008,31.55004,14124200,17.47846
30.60,32.18994,29.59992,31.41,15077700,17.40088
29.88,30.79998,29.10006,30.49992,12800000,16.8967
26.89002,28.99008,26.65008,28.99008,10094300,16.06026
27.97002,28.42992,25.79994,26.35002,7149400,14.59769
28.08,29.50002,27.75006,27.97002,9620600,15.49516
28.99998,29.44998,28.00008,28.15002,6176500,15.59488
29.07,29.50002,28.36008,29.05002,6036500,16.09347
29.70,29.70,29.70,29.70,000,16.45355
30.09996,31.80996,29.59992,29.70,13230300,16.45355
27.79992,30.90006,27.79992,30.29994,12622400,16.78591
28.99998,28.99998,27.75006,28.13994,8788500,15.58929
29.55996,29.93994,28.51992,29.30004,10124100,16.23198
30.00006,30.34998,28.90008,29.55996,9982300,16.37597
28.80,31.44996,28.69992,30.83004,15019500,17.07958
28.18008,29.50002,28.00998,29.08998,12783300,16.11561
26.89002,28.69992,26.89002,28.18008,11720700,15.61153
28.98,28.98,26.10,26.40996,11944300,14.6309
28.42992,29.44998,28.24992,28.72998,7424300,15.91617
28.26,29.50002,27.88002,28.45998,8236800,15.76659
31.33998,31.35006,28.29996,28.38996,10650800,15.7278
32.00994,32.86998,31.01004,31.37994,8690000,17.38422
32.11992,33.85008,31.19994,33.10002,13971800,18.33714
30.99996,34.00002,30.56994,32.77008,14371600,18.15435
32.99994,33.17994,30.79998,32.74992,13734200,18.14318
35.20008,35.29998,32.77998,33.30,19111700,18.44792
37.53,37.80,34.79994,35.89002,20406000,19.88277
36.84996,36.84996,36.84996,36.84996,000,20.41457
32.47992,36.84996,32.20002,36.84996,25906600,20.41457
34.20,34.95996,31.30002,33.49998,28103600,18.55871
28.90008,31.93992,28.06002,31.93992,13753300,17.69445
25.88004,29.03994,24.49998,29.03994,25226100,16.08788
26.40006,26.40006,26.40006,26.40006,789600,14.62541
23.99994,23.99994,23.99994,23.99994,231800,13.29577
21.81996,21.81996,21.81996,21.81996,000,12.08808
21.81996,21.81996,21.81996,21.81996,000,12.08808
21.81996,21.81996,21.81996,21.81996,000,12.08808
21.81996,21.81996,21.81996,21.81996,000,12.08808
21.81996,21.81996,21.81996,21.81996,000,12.08808
21.81996,21.81996,21.81996,21.81996,000,12.08808
21.81996,21.81996,21.81996,21.81996,000,12.08808
21.81996,21.81996,21.81996,21.81996,000,12.08808
21.81996,21.81996,21.81996,21.81996,000,12.08808
21.81996,21.81996,21.81996,21.81996,000,12.08808
21.27996,21.99996,20.52,21.81996,10496700,12.08808
21.22992,22.46994,20.80008,21.29004,14517900,11.7945
19.51992,21.58992,19.40994,21.20004,20171900,11.74464
18.50004,19.92006,18.36,19.63008,12769200,10.8749
18.90,19.06002,18.23004,18.79992,7440400,10.415
19.20006,19.40004,18.79002,18.82998,8287800,10.43165
18.50004,20.37996,18.50004,19.49994,14740800,10.8028
19.09008,19.36998,18.50004,18.64998,9014700,10.33193
19.20996,19.20996,18.72,19.13994,8715100,10.60337
18.84996,19.29006,18.72,19.20996,5962300,10.64216
19.29996,19.38996,18.50004,18.84996,6920400,10.44272
19.76004,20.08998,19.09998,19.36008,7009000,10.72532
19.99998,19.99998,19.99998,19.99998,000,11.07982
19.99998,19.99998,19.99998,19.99998,000,11.07982
19.99998,19.99998,19.99998,19.99998,000,11.07982
19.99998,19.99998,19.99998,19.99998,000,11.07982
19.99998,19.99998,19.99998,19.99998,000,11.07982
19.42992,20.88,18.70002,19.99998,14200900,11.07982
18.55008,19.67994,18.39996,19.38006,10822000,10.73639
18.34992,18.91008,18.19998,18.70002,10537600,10.35965
18.30006,18.99,18.14004,18.23994,6181500,10.10477
18.41004,19.00008,18.10998,18.23004,6980100,10.09929
17.80,18.39996,17.65001,18.39996,5192100,10.19342
18.39996,18.77994,17.40001,18.16992,8056500,10.06598
19.00998,19.20006,18.30006,18.48996,11298600,10.24328
17.22001,19.04004,16.96,19.04004,20199100,10.54802
17.06,17.47001,16.90,17.31,3207000,9.5896
16.57001,17.23,16.57001,17.06,2527700,9.4511
16.48001,16.86,16.22,16.58,2936800,9.18518
17.35,17.50,16.75001,16.79,3056900,9.30152
17.66,17.87,17.15,17.33999,3249500,9.60621
17.19,18.50004,17.17999,18.03006,6953700,9.9885
17.31,17.39,16.81999,17.19,2424400,9.52312
16.88999,17.35,16.88,17.30,2584700,9.58405
